unique_id,Graduation_year,study_level,job_title,Industry,School,study_program,time_to_job_after_graduation,current_status,degree_required_for_job,career_prep_talked_faculty,career_prep_attended_fair,career_prep_worked_in_field,career_prep_used_career_services,other_courses_to_take,other_courses_to_take.1,alumni_registered,alumni_interest_info
42545,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42555,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42565,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42575,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42585,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42595,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42605,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42615,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
42625,,,early_others,,,OTHER,,0,,1,1,0,0,OTHER,OTHER,1,
42635,,,early_others,,,OTHER,,1,,0,0,0,0,OTHER,OTHER,1,
42645,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,1,BM,OTHER,0,1
42655,,,early_others,,,OTHER,,1,,0,0,1,0,CDQ,OTHER,,
42665,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,1,
42675,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,1,OTHER,OTHER,1,
42685,,,admin_sales,,,OTHER,0.25,1,1,0,0,0,0,OTHER,OTHER,0,1
42695,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42705,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42715,,,early_others,,,OTHER,0.25,1,1,0,0,1,0,BM,OTHER,0,1
42725,,,senior_executives,,,OTHER,Other,1,1,0,0,1,1,BM,OTHER,0,1
42735,,,technical_professional,,,OTHER,Other,1,1,0,0,1,0,OTHER,OTHER,1,
42745,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42755,,,admin_sales,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,0,0
42765,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
42775,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,OTHER,0,0
42785,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42795,,,early_others,,,OTHER,,1,,0,0,1,0,OTHER,OTHER,0,1
42805,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,0,CDQ,OTHER,1,
42815,,,early_others,,,OTHER,0.25,1,1,1,1,1,1,CDQ,OTHER,,
42825,,,early_others,,,OTHER,,0,,1,1,1,1,CDQ,OTHER,0,1
42835,,,technical_professional,,,OTHER,0.25,1,0,0,0,1,1,OTHER,OTHER,0,0
42845,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,CDQ,0,1
42855,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,OTHER,0,1
42865,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,1,BM,OTHER,1,
42875,,,technical_professional,,,OTHER,Other,1,1,1,0,1,0,BM,OTHER,0,1
42885,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
42895,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,0,1
42905,,,early_others,,,OTHER,,0,,0,1,1,0,BM,OTHER,0,1
42915,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
42925,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
42935,,,early_others,,,OTHER,,0,,0,1,0,1,OTHER,OTHER,0,1
42945,,,early_others,,,OTHER,,0,,0,1,1,1,OTHER,CDQ,,
42955,,,technical_professional,,,OTHER,Other,1,1,0,0,1,1,OTHER,OTHER,0,1
42965,,,technical_professional,,,OTHER,0.5,1,1,0,0,1,1,OTHER,CDQ,1,
42975,,,senior_executives,,,OTHER,Other,1,1,0,0,1,0,CDQ,OTHER,0,1
42985,,,admin_sales,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,1,
42995,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43005,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43015,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,CDQ,1,
43025,,,early_others,,,OTHER,0.25,1,0,1,0,0,0,OTHER,OTHER,0,0
43035,,,early_others,,,OTHER,,0,,0,0,1,1,BM,OTHER,,
43045,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
43055,,,early_others,,,OTHER,,0,,0,0,1,1,BM,OTHER,1,
43065,,,early_others,,,OTHER,,0,,1,0,1,1,OTHER,OTHER,0,1
43075,,,early_others,,,OTHER,,1,,0,1,0,1,OTHER,OTHER,,
43085,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
43095,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
43105,,,early_others,,,OTHER,,,,0,0,1,0,OTHER,OTHER,,
43115,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,,
43125,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
43135,,,early_others,,,OTHER,,0,,0,0,0,0,LPS,OTHER,0,1
43145,,,early_others,,,OTHER,,0,,1,0,0,0,LPS,OTHER,0,1
43155,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,OTHER,0,1
43165,,,early_others,,,OTHER,,0,,0,1,0,1,CDQ,OTHER,0,1
43175,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,BM,0,1
43185,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,OTHER,0,1
43195,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43205,,,early_others,,,OTHER,,0,,0,1,1,0,BM,OTHER,0,1
43215,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
43225,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,1,
43235,,,early_others,,,OTHER,0.5,1,0,1,1,1,1,CDQ,OTHER,1,
43245,,,senior_executives,,,OTHER,Other,1,0,0,0,1,0,OTHER,OTHER,0,1
43255,,,early_others,,,OTHER,,0,,1,0,1,1,OTHER,OTHER,0,1
43265,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43275,,,early_others,,,OTHER,,0,,1,1,0,1,OTHER,BM,1,
43285,,,early_others,,,OTHER,,1,,0,1,1,0,OTHER,OTHER,0,1
43295,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43305,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43315,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,BM,1,
43325,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,1,BM,OTHER,1,
