unique_id,study_program,study_level,time_to_job_after_graduation,current_status,job_title,degree_required_for_job,career_prep_talked_faculty,career_prep_attended_fair,career_prep_worked_in_field,career_prep_used_career_services,other_courses_to_take,other_courses_to_take.1,alumni_registered,alumni_interest_info
2342342,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342343,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342344,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342345,BM,1,Other,1,admin_sales,1,0,0,1,0,OTHER,OTHER,1,
2342346,BM,1,0.5,1,early_others,1,0,0,1,0,OTHER,OTHER,0,1
2342347,CDQ,1,,0,early_others,,1,0,0,1,OTHER,OTHER,0,1
2342348,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342349,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342350,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342351,CDQ,1,0.25,1,technical_professional,1,1,1,1,1,OTHER,OTHER,0,1
2342352,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342353,CDQ,1,0.25,1,early_others,0,0,0,0,1,OTHER,OTHER,0,1
2342354,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342355,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342356,CDQ,1,0.5,1,admin_sales,0,1,1,1,1,OTHER,OTHER,0,1
2342357,BM,1,0.25,1,technical_professional,1,0,0,0,1,OTHER,OTHER,0,1
2342358,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342359,CDQ,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,1
2342360,CDQ,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342361,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342362,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342363,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342364,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342365,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342366,BM,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342367,BM,1,,0,early_others,,1,0,1,0,BM,OTHER,0,1
2342368,CDQ,1,0.5,1,early_others,1,1,1,0,0,OTHER,OTHER,0,1
2342369,BM,1,,0,early_others,,1,0,1,0,BM,OTHER,0,1
2342370,CDQ,1,0.25,1,early_others,1,0,0,1,1,OTHER,OTHER,0,1
2342371,CDQ,1,0.5,1,early_others,1,0,1,1,0,OTHER,OTHER,0,1
2342372,CDQ,1,,0,early_others,,1,0,1,0,OTHER,OTHER,0,1
2342373,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342374,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342375,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342376,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
