unique_id,Graduation_year,job_title_alumni,Industry,School,study_level_alumni
1493056,2017,early_others,MT,SBS,1
1493055,2026,early_others,,SLS,1
1493053,2025,early_others,FP,SBS,0
1493050,2023,admin_sales,FP,FIT,1
1493048,2026,early_others,,SI,1
1493046,2025,early_others,CH,SI,0
1493044,2025,early_others,,SI,0
1493043,2021,early_others,,SI,1
1493041,2026,early_others,,SCES,1
1493040,2025,technical_professional,PN,SI,0
1493038,2025,technical_professional,FP,SI,0
1493037,2024,senior_executives,PN,SBS,0
1493036,2026,early_others,MT,SCES,1
1493034,2025,early_others,,SI,0
1493033,2025,early_others,FP,SI,1
1493028,2013,early_others,,SBS,1
1493023,2026,early_others,,SCES,1
1493020,2026,early_others,,SCES,1
1493010,2026,early_others,,SCES,1
1493002,2021,early_others,,SI,1
1492990,2014,early_others,,SI,1
1492988,2026,early_others,,SCES,1
1492986,2026,early_others,FP,SCES,1
1492978,2026,early_others,,SCES,1
1492976,2026,early_others,,SCES,1
1492974,2025,early_others,FP,SLS,1
1492969,2026,early_others,,SCES,1
1492960,2026,early_others,,SCES,1
1492954,2026,early_others,,SCES,1
1492952,2026,early_others,,SCES,1
1492946,2026,early_others,,SCES,1
1492945,2025,early_others,,SCES,1
1492930,2021,early_others,,SI,1
1492928,2026,early_others,FP,SCES,1
1492921,2022,early_others,,SCES,1
1492898,2026,early_others,,SCES,1
1492885,2026,early_others,,SCES,1
1492877,2026,early_others,,SCES,1
1492875,2026,early_others,,SCES,1
1492869,2026,early_others,,SCES,1
1492868,2026,early_others,,SCES,1
1492867,2026,early_others,,SCES,1
1492850,2026,early_others,,SCES,1
1492839,2025,early_others,FP,SCES,1
1492834,2026,early_others,FP,SCES,1
1492818,2026,early_others,,SCES,1
1492805,2026,senior_executives,FP,SCES,1
1492797,2026,early_others,,SCES,1
1492790,2026,early_others,,SCES,1
1492786,2026,early_others,,SCES,1
1492785,2026,early_others,,STH,1
1492779,2026,early_others,,STH,1
1492770,2026,early_others,,SCES,1
1492753,2026,early_others,FP,SCES,1
1492744,2026,early_others,,SCES,1
1492721,2026,early_others,,SCES,1
1492717,2026,early_others,,SCES,1
1492708,2026,early_others,,SCES,1
1492706,2026,early_others,,SCES,1
1492701,2026,early_others,,SCES,1
1492700,2014,early_others,,SCES,0
1492695,2024,early_others,,SHSS,0
1492693,2022,early_others,,SI,1
1492690,2025,early_others,,SBS,1
1492689,2025,early_others,,SBS,0
1492685,2026,early_others,,SCES,1
1492684,2026,early_others,,SCES,1
1492683,2015,early_others,,FIT,1
